code,trading_name,name_vi,ownership,sector,status,fy2024_vnd_bn,fy2025_vnd_bn,change_vnd_bn,in_balanced_panel
VPG,Việt Phát,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Private,Coal & mining,common,1242.0,748.0,-494.0,TRUE
HLB,Halobeco,CTCP Bia và nước giải khát Hạ Long,Private,"Food, beverage & brewing",common,884.0,745.0,-139.0,TRUE
STAVIAN,STAVIAN GROUP,CTCP Stavian Hoá chất,Private,"Chemicals, plastics & rubber",entered,,736.0,,FALSE
HSBC,HSBC Việt Nam,HSBC Việt Nam,FDI,Banking,common,987.0,694.0,-293.0,TRUE
INTIMEXG,Intimex Group,Công ty cổ phần Tập đoàn Intimex,Private,Manufacturing & other industry,entered,,692.0,,FALSE
SBT,AgriS,CTCP Thành Thành Công - Biên Hòa,Private,Manufacturing & other industry,common,542.0,690.0,148.0,TRUE
TCH,Hoang Huy Group,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Private,Real estate & construction,common,772.0,670.0,-102.0,TRUE
HDG,Hà Đô Group,Công ty Cổ phần Tập đoàn Hà Đô,Private,Power & electrical,common,476.0,662.0,186.0,TRUE
MIRAEASSET,MAS,CTCP Chứng khoán Mirae Asset (Việt Nam),FDI,Securities,common,602.0,658.0,56.0,TRUE
SJG,Sông Đà Corp,Tổng Công ty Sông Đà - Công ty cổ phần,SOE,Real estate & construction,common,600.0,624.0,24.0,TRUE
L18,Licogi 18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Private,Real estate & construction,common,1007.0,621.0,-386.0,TRUE
VSDC,VSDC,Tổng Công ty lưu ký và bù trừ Chứng khoán Việt Nam,SOE,Finance & investment,common,480.0,602.0,122.0,TRUE
TID,Tinnghia Corp,CTCP Tổng Công ty Tín Nghĩa,Private,Real estate & construction,entered,,591.0,,FALSE
GMD,Gemadept,Công ty Cổ phần Tập đoàn Gemadept,Private,Logistics & transport,common,443.0,564.0,121.0,TRUE
BSGBT,Bia Sai Gon - Ben Tre,CTCP Bia Sài Gòn - Bến Tre,Private,"Food, beverage & brewing",common,626.0,550.0,-76.0,TRUE
DOJI,DOJI,CTCP Tập đoàn Vàng bạc đá quý Doji,Private,Real estate & construction,common,1056.0,545.0,-511.0,TRUE
HANDICO,Handico,Tổng Công ty Đầu tư và phát triển Nhà Hà Nội,SOE,Real estate & construction,common,752.0,543.0,-209.0,TRUE
YSKH,Yến Sào Khánh Hòa,Công ty TNHH Nhà nước MTV Yến sào Khánh Hòa,SOE,"Food, beverage & brewing",common,388.0,535.0,147.0,TRUE
THMF,TH Milk Food,Công ty Cổ phần Thực phẩm Sữa TH,Private,"Food, beverage & brewing",common,441.0,529.0,88.0,TRUE
KDC,Kido Group,Tập đoàn KIDO,Private,"Food, beverage & brewing",common,589.0,525.0,-64.0,TRUE
F88,F88 Investment,Công ty cổ phần Đầu tư F88,Private,Finance & investment,common,435.0,496.0,61.0,TRUE
BMP,Nhựa Bình Minh,Công ty Cổ phần Nhựa Bình Minh,FDI,Steel & building materials,common,405.0,488.0,83.0,TRUE
LIC,Licogi,Tổng Công ty Licogi - Công ty Cổ phần,Private,Real estate & construction,entered,,487.0,,FALSE
APF,APFCO,Công ty Cổ phần Nông sản thực phẩm Quảng Ngãi,Private,Manufacturing & other industry,common,347.0,479.0,132.0,TRUE
GOLDENGATE,Golden Gate Group,Công ty Cổ phần Tập đoàn Golden Gate,Private,"Food, beverage & brewing",common,377.0,476.0,99.0,TRUE
KLB,Kienlong Bank,Ngân hàng Thương mại cổ phần Kiên Long,Private,Banking,entered,,474.0,,FALSE
SAMCO,SAMCO,Tổng Công ty Cơ khí Giao thông Vận tải Sài Gòn - TNHH MTV,SOE,Automotive,common,1273.0,468.0,-805.0,TRUE
PAN,The PAN Group,Công ty Cổ phần Tập đoàn PAN,Private,"Food, beverage & brewing",common,656.0,465.0,-191.0,TRUE
TOS,Tân Cảng Offshore Services,CTCP Dịch vụ Biển Tân Cảng,SOE,Logistics & transport,entered,,461.0,,FALSE
VECX,VEC,Tổng Công ty Phát triển đường cao tốc Việt Nam,SOE,Real estate & construction,common,671.0,461.0,-210.0,TRUE
SJCX,SJCX,Công ty TNHH MTV Vàng bạc đá quý Sài Gòn,SOE,Retail & trade,entered,,452.0,,FALSE
BAB,BacA Bank,Ngân hàng Thương mại cổ phần Bắc Á,Private,Banking,common,421.0,446.0,25.0,TRUE
PTB,Phú Tài,Công ty Cổ phần Phú Tài,Private,Steel & building materials,entered,,440.0,,FALSE
FCN,Fecon,Công ty cổ phần FECON,Private,Real estate & construction,common,641.0,432.0,-209.0,TRUE
VLB,BBCC,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,Private,Steel & building materials,common,363.0,430.0,67.0,TRUE
VCG,Vinaconex,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,Private,Real estate & construction,common,1822.0,428.0,-1394.0,TRUE
