rank,name_vi,trading_name,code,ownership,ownership_basis,sector,sector_vi,budget_payment_vnd_bn,vat_domestic,vat_imports,corporate_income_tax,personal_income_tax,land_and_land_rent
128,Công ty cổ phần Chăn nuôi C.P Việt Nam,C.P Vietnam Corporation,CPVN,FDI,C.P. Group (TH),Manufacturing & other industry,Nông nghiệp,1000.0,,,,,
129,Công ty TNHH Mercedes-Benz Việt Nam,Mercedes-Benz VietNam,MERCEDESVN,FDI,Mercedes-Benz (DE),Automotive,Ô tô,1000.0,,,,,
130,Công ty TNHH Quốc tế Unilever Việt Nam,Unilever Vietnam,UNILEVER,FDI,Unilever (UK/NL),"Food, beverage & brewing",Thực phẩm,1000.0,,,,,
131,Công ty cổ phần Chứng khoán VNDirect,VNDirect,VND,Private,CafeF PRIVATE 100 (2026),Securities,Chứng khoán,966.0,,,305.0,599.0,
132,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,Saigon Petro,SAIGONPETRO,SOE,HCMC state 100%,"Oil, gas & fuels",Xăng dầu - khí đốt,965.0,,,,,
133,Tổng công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Petrosetco,PET,Private,CafeF PRIVATE 100 (2026),Retail & trade,Phân phối - Bán lẻ,929.0,639.0,,82.0,152.0,
134,Tổng Công ty Thép Việt Nam - CTCP,VNSteel,TVN,SOE,"VNSteel, SCIC/MOIT majority",Steel & building materials,Thép,927.0,637.0,,68.0,,110.0
135,Công ty Cổ phần Thực phẩm dinh dưỡng Nutifood,Nutifood,NUTIFOOD,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,915.0,,,,,
136,Công ty cổ phần Đầu tư Nam Long,Nam Long,NLG,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,911.0,257.0,,516.0,130.0,
137,Công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam,Prudential,PRUDENTIAL,FDI,Prudential (UK),Insurance,Bảo hiểm,903.0,,,903.0,,
138,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Khang Điền,KDH,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,896.0,,,293.0,,543.0
139,Tập đoàn Dệt may Việt Nam,Vinatex,VGT,SOE,"Vinatex, state ~53%",Textiles,Dệt may,895.0,462.0,,139.0,,212.0
140,Công ty Cổ phần Nguyên liệu Á Châu AIG,AIG Group,AIG,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,895.0,393.0,,273.0,,
141,Công ty Cổ phần Thép Nam Kim,Nam Kim,NKG,Private,CafeF PRIVATE 100 (2026),Steel & building materials,Thép,876.0,3.0,723.0,107.0,,
142,Tổng Công ty Cổ phần phát triển khu Công nghiệp,Sonadezi,SNZ,SOE,"Sonadezi, Dong Nai PC majority",Real estate & construction,Bất động sản - Xây dựng,876.0,175.0,,436.0,,
143,CTCP Tập đoàn Hoá chất Đức Giang,Đức Giang Chem,DGC,Private,CafeF PRIVATE 100 (2026),"Chemicals, plastics & rubber",Hóa chất,874.0,29.0,156.0,206.0,100.0,
144,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HSC,HCM,Private,CafeF PRIVATE 100 (2026),Securities,Chứng khoán,872.0,,,166.0,529.0,
145,Công ty TNHH Một thành viên - Tập đoàn Đường sắt Quốc gia Việt Nam,Vietnam Railways,VNRAILWAYS,SOE,state railway corp,Logistics & transport,Vận tải - Logistics,852.0,403.0,,25.0,,
146,Tổng Công ty Phát triển đô thị Kinh Bắc-CTCP,Kinh Bac City,KBC,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,804.0,486.0,,239.0,,
