rank,name_vi,trading_name,code,ownership,ownership_basis,sector,sector_vi,budget_payment_vnd_bn,vat_domestic,vat_imports,corporate_income_tax,personal_income_tax,land_and_land_rent
33,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,CTX Holdings,CTX,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,5127.0,76.0,,3.0,,4970.0
34,Tổng công ty Cảng hàng không Việt Nam - CTCP,ACV,ACV,SOE,CafeF STATE 100 (2026),Aviation,Hàng không,4656.0,211.0,,2582.0,403.0,149.0
35,Công ty Cổ phần Tập đoàn MaSan,Masan Group,MSN,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing","Thực phẩm, Bán lẻ, Tài chính",4636.0,1854.0,,1274.0,393.0,
36,Ngân hàng Thương mại Cổ phần Sài Gòn Tài Lộc,Sacombank,STB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,4304.0,830.0,,2773.0,,
37,Tổng Công ty Khánh Việt,Khatoco,KHATOCO,SOE,CafeF STATE 100 (2026),Tobacco,Thuốc lá,4292.0,537.0,78.0,58.0,,
38,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Habeco,BHN,SOE,CafeF STATE 100 (2026),"Food, beverage & brewing",Bia rượu,4158.0,613.0,,155.0,,
39,Công ty Cổ phần Sữa Việt Nam,Vinamilk,VNM,Private,CafeF PRIVATE 100 (2026),"Food, beverage & brewing",Thực phẩm,3856.0,1777.0,,1536.0,311.0,
40,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,HDBank,HDB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,3744.0,521.0,,2592.0,,
41,Tổng Công ty Công nghiệp Sài Gòn - TNHH Một thành viên,CNS,CNS,SOE,CafeF STATE 100 (2026),Tobacco,Thuốc lá,3691.0,421.0,77.0,107.0,19.0,
42,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Thalexim,TLP,Private,CafeF PRIVATE 100 (2026),"Oil, gas & fuels",Xăng dầu - khí đốt,3468.0,158.0,913.0,18.0,,
43,Tập đoàn Công nghiệp Cao su Việt Nam,Vietnam Rubber Group,GVR,SOE,CafeF STATE 100 (2026),"Chemicals, plastics & rubber","Cao su, Bất động sản",3413.0,858.0,,1232.0,162.0,751.0
44,Công ty Cổ phần Tập đoàn BIM,BIM Group,BIMGROUP,Private,CafeF PRIVATE 100 (2026),Power & electrical,"Bất động sản, Điện năng",3316.0,983.0,,859.0,135.0,
45,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,LPBank,LPB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,3298.0,55.0,,2600.0,,
46,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines,HVN,SOE,CafeF STATE 100 (2026),Aviation,Hàng không,3291.0,969.0,,416.0,874.0,
47,Sở Giao dịch Chứng khoán Việt Nam,Vietnam Exchange,VNEX,SOE,CafeF STATE 100 (2026),Finance & investment,Tài chính,3283.0,6.0,,659.0,,
48,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,SHB,SHB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,3249.0,320.0,,2309.0,,
49,Tổng Công ty Cấp nước Sài Gòn,Sawaco,SAWACO,SOE,CafeF STATE 100 (2026),Water & utilities,Cấp thoát nước,3179.0,232.0,,337.0,,
50,Công ty cổ phần Đầu tư Bất động sản Taseco,Taseco Land,TAL,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,3148.0,198.0,,195.0,,2728.0
51,Công ty TNHH ô tô Mitsubishi Việt Nam,Mitsubishi Motors,MMVN,FDI,Mitsubishi Motors (JP),Automotive,Ô tô,3000.0,,,,,
52,Công ty TNHH Apple Việt Nam,Apple Việt Nam,APPLE,FDI,Apple Inc (US),Retail & trade,Phân phối - Bán lẻ,3000.0,,,,,
53,Công ty TNHH MTV - Tổng Công ty Tân Cảng Sài Gòn,Saigon New Port/SNP,SNP,SOE,CafeF STATE 100 (2026),Logistics & transport,Vận tải - Logistics,3000.0,,,,,
54,Công ty TNHH Bia Carlsberg Việt Nam,Carlsberg Việt Nam,CARLSBERG,FDI,Carlsberg (DK),"Food, beverage & brewing",Bia rượu,3000.0,,,,,
55,Tổng Công ty Quản lý bay Việt Nam,VATM,VATM,SOE,CafeF STATE 100 (2026),Aviation,Hàng không,2948.0,,,358.0,,
56,Công ty Cổ phần Tập đoàn GELEX,Gelex,GEX,Private,CafeF PRIVATE 100 (2026),Power & electrical,"Bất động sản, Thiết bị điện",2892.0,1572.0,,943.0,198.0,
57,Công ty cổ phần Phát triển Bất động sản Phát Đạt,Phát Đạt,PDR,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,2890.0,46.0,,103.0,,2711.0
58,Công ty cổ phần Chứng khoán VPS,VPS Securities,VCK,Private,CafeF PRIVATE 100 (2026),Securities,Chứng khoán,2848.0,13.0,,648.0,2187.0,
59,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT LONG AN,Long An Lottery,XSLA,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2797.0,,,,,
60,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,Bạc Liêu Lottery,XSBL,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2751.0,640.0,,207.0,,
61,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BÌNH DƯƠNG,Bình Dương Lottery,XSBINHDUONG,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2749.0,630.0,,212.0,,
62,Ngân hàng Thương mại cổ phần Tiên Phong,TPBank,TPB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,2744.0,400.0,,1552.0,,
63,Công ty TNHH MTV Xổ Số Kiến Thiết Bến Tre,Bến Tre Lottery,XSBENTRE,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2738.0,643.0,,207.0,,
64,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,VIB,VIB,Private,CafeF PRIVATE 100 (2026),Banking,Ngân hàng,2731.0,262.0,,1944.0,,
65,Công ty TNHH MTV Xổ số kiến thiết Cà Mau,Cà Mau Lottery,XSCM,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2721.0,640.0,,175.0,,
66,Công ty TNHH Xổ số kiến thiết tỉnh Tây Ninh,Tây Ninh Lottery,XSTN,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2718.0,643.0,,195.0,243.0,
67,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH ĐỒNG THÁP,Đồng Tháp Lottery,XSDT,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2682.0,646.0,,190.0,,
68,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT KIÊN GIANG,Kiên Giang Lottery,XSKG,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2680.0,659.0,,179.0,,
69,Xổ số kiến thiết tỉnh Trà Vinh,Trà Vinh Lottery,XSTV,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2648.0,658.0,,170.0,,
70,Công ty TNHH MTV Xổ số kiến thiết Bình Thuận,Bình Thuận Lottery,XSBINHTHUAN,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2635.0,642.0,,168.0,,
71,Công ty TNHH MTV Xổ số kiến thiết Vĩnh Long,Vĩnh Long Lottery,XSVL,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2615.0,644.0,,210.0,,
72,Tổng Công ty Thương mại Sài Gòn - TNHH MTV,Satra,SATRA,SOE,CafeF STATE 100 (2026),Retail & trade,Phân phối - Bán lẻ,2602.0,,,51.0,,
73,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH BÀ RỊA - VŨNG TÀU,BRVT Lottery,XSBRVT,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2591.0,641.0,,166.0,,
74,Công ty TNHH MTV Xổ số kiến thiết Lâm Đồng,Lâm Đồng Lottery,XSLD,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2579.0,654.0,,182.0,249.0,
75,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT AN GIANG,An Giang Lottery,XSAG,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2543.0,642.0,,157.0,240.0,
76,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TIỀN GIANG,Tiền Giang Lottery,XSTG,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2529.0,650.0,,140.0,244.0,
77,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT VÀ DỊCH VỤ TỔNG HỢP ĐỒNG NAI,Đồng Nai Lottery,XSDONGNAI,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2460.0,646.0,,198.0,,
78,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,Cần Thơ Lottery,XSCT,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2452.0,646.0,,185.0,,
79,Tổng Công ty Đông Bắc - BQP,Necorp,NECORP,SOE,CafeF STATE 100 (2026),Coal & mining,"Than, Khoáng sản",2444.0,673.0,,205.0,,
80,Công ty Cổ phần Bất động sản JS,JS REAL ESTATE,JSRE,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,2400.0,,,,,
81,Công ty cổ phần Đầu tư Phát triển Du lịch Phú Quốc,Corona Casino & Resort,DLPQ,Private,CafeF PRIVATE 100 (2026),Tourism & hospitality,Du lịch,2333.0,1359.0,,63.0,305.0,
82,Công ty TNHH MTV Xổ số kiến thiết Sóc Trăng,Sóc Trăng Lottery,XSST,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2321.0,,,,,
83,Tập đoàn Hoá chất Việt Nam,Vinachem,VINACHEM,SOE,CafeF STATE 100 (2026),"Chemicals, plastics & rubber",Hóa chất,2268.0,781.0,,692.0,112.0,
84,Công ty TNHH MTV Xổ số điện toán Việt Nam,Vietlott,VIETLOTT,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2265.0,791.0,,84.0,263.0,
85,Công ty Cổ phần Tasco,TASCO,HUT,Private,CafeF PRIVATE 100 (2026),Automotive,"Ô tô, Hạ tầng",2227.0,773.0,,206.0,111.0,
86,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,PNJ,PNJ,Private,CafeF PRIVATE 100 (2026),Retail & trade,Bán lẻ,2128.0,981.0,,608.0,361.0,
87,Công ty TNHH MTV Xổ số kiến thiết Hậu Giang,Hậu Giang Lottery,XSHG,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,2115.0,598.0,,111.0,,
88,Công ty Cổ phần đầu tư Thế giới di động,Mobile World Group,MWG,Private,CafeF PRIVATE 100 (2026),Retail & trade,Bán lẻ,2056.0,21521.0,,1546.0,457.0,
89,Tổng Công ty Đầu tư Phát triển nhà và Đô thị-Công ty TNHH,HUD,HUDX,SOE,CafeF STATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,1951.0,,,157.0,,1296.0
90,Công ty Cổ phần Cơ điện lạnh,REE,REE,Private,CafeF PRIVATE 100 (2026),Power & electrical,"Xây lắp, điện năng, bất động sản",1943.0,1060.0,,323.0,,
91,Công ty TNHH MTV Xổ số kiến thiết và dịch vụ tổng hợp Bình Phước,Bình Phước Lottery,XSBP,SOE,CafeF STATE 100 (2026),Lottery,Xổ số,1910.0,496.0,,117.0,,
92,Công ty Cổ phần Vincom Retail,Vincom Retail,VRE,Private,CafeF PRIVATE 100 (2026),Real estate & construction,Bất động sản - Xây dựng,1900.0,625.0,,1089.0,,
93,Công ty Cổ phần Tập đoàn VNG,VNG Group,VNZ,Private,CafeF PRIVATE 100 (2026),Technology & telecom,Công nghệ - Viễn thông - Truyền thông,1867.0,1005.0,,48.0,336.0,
