rank,name_vi,trading_name,code,ownership,sector,budget_payment_vnd_bn
65,Công ty Cổ phần Tổng công ty hợp tác kinh tế Việt Lào,VILAOCO,VILAOCO,Private,Real estate & construction,2257.0
66,Công ty TNHH MTV Xổ số kiến thiết Bình Thuận,Bình Thuận Lottery,XSBINHTHUAN,SOE,Lottery,2234.0
67,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT BẠC LIÊU,Bạc Liêu Lottery,XSBL,SOE,Lottery,2219.0
68,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TỈNH BÀ RỊA - VŨNG TÀU,BRVT Lottery,XSBRVT,SOE,Lottery,2216.0
69,Công ty TNHH MTV Xổ số kiến thiết Vĩnh Long,Vĩnh Long Lottery,XSVL,SOE,Lottery,2216.0
70,CÔNG TY TNHH NHÀ NƯỚC MTV XỔ SỐ KIẾN THIẾT CẦN THƠ,Cần Thơ Lottery,XSCT,SOE,Lottery,2203.0
71,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT LONG AN,Long An Lottery,XSLA,SOE,Lottery,2200.0
72,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT TIỀN GIANG,Tiền Giang Lottery,XSTG,SOE,Lottery,2197.0
73,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT VÀ DỊCH VỤ TỔNG HỢP ĐỒNG NAI,Đồng Nai Lottery,XSDONGNAI,SOE,Lottery,2172.0
74,Công ty TNHH MTV Xổ số kiến thiết Sóc Trăng,Sóc Trăng Lottery,XSST,SOE,Lottery,2162.0
75,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,PNJ,PNJ,Private,Retail & trade,2116.0
76,Công ty TNHH MTV Xổ số điện toán Việt Nam,Vietlott,VIETLOTT,SOE,Lottery,2080.0
77,Công ty TNHH MTV Xổ số kiến thiết Hậu Giang,Hậu Giang Lottery,XSHG,SOE,Lottery,2005.0
78,Tổng Công ty Du lịch Sài Gòn - TNHH Một thành viên,Saigontourist,SAIGONTOURIST,SOE,Tourism & hospitality,1988.0
79,Tập đoàn Bảo Việt,BaoViet Holdings,BVH,SOE,Insurance,1967.0
80,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,Vinaconex,VCG,Private,Real estate & construction,1822.0
81,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,MSB,MSB,Private,Banking,1784.0
82,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Khang Điền,KDH,Private,Real estate & construction,1701.0
83,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,Becamex IDC,BCM,SOE,Real estate & construction,1692.0
84,Công ty cổ phần Chứng khoán SSI,SSI,SSI,Private,Securities,1664.0
85,Công ty Cổ phần Tập đoàn Hoa Sen,Hoa Sen Group,HSG,Private,Steel & building materials,1653.0
86,Công ty TNHH MTV Xổ số kiến thiết và dịch vụ tổng hợp Bình Phước,Bình Phước Lottery,XSBP,SOE,Lottery,1617.0
87,Tổng công ty IDICO - Công ty Cổ phần,IDICO,IDC,Private,Power & electrical,1601.0
88,Công ty Cổ phần Tập đoàn VNG,VNG Group,VNZ,Private,Technology & telecom,1588.0
89,Công ty Cổ phần Cơ điện lạnh,REE,REE,Private,Power & electrical,1447.0
90,Công ty Cổ phần Tập đoàn PC1,PC1 Group,PC1,Private,Power & electrical,1446.0
91,Công ty Cổ phần Tập đoàn BIM,BIM Group,BIMGROUP,Private,Power & electrical,1444.0
92,Tổng Công ty Công nghiệp Thực phẩm Đồng Nai,Dofico,DOFICO,SOE,Tobacco,1440.0
93,Công ty Cổ phần PVI,PVI Holdings,PVI,FDI,Insurance,1437.0
94,Ngân hàng Thương mại cổ phần Đông Nam Á,Seabank,SSB,Private,Banking,1419.0
95,Công ty cổ phần Đầu tư Bất động sản Taseco,Taseco Land,TAL,Private,Real estate & construction,1398.0
96,Công ty Cổ phần đầu tư Thế giới di động,Mobile World Group,MWG,Private,Retail & trade,1297.0
97,Ngân hàng Thương mại cổ phần Nam Á,NamA Bank,NAB,Private,Banking,1294.0
98,Tổng Công ty Cơ khí Giao thông Vận tải Sài Gòn - TNHH MTV,SAMCO,SAMCO,SOE,Automotive,1273.0
99,Công ty TNHH VSIP Nghệ An,VSIP Nghệ An,VSIPNA,FDI,Real estate & construction,1261.0
100,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Việt Phát,VPG,Private,Retail & trade,1242.0
101,CTCP Bia Sài Gòn - Miền Trung,Bia Sài Gòn - Miền Trung,SMB,Private,"Food, beverage & brewing",1206.0
102,Công ty cổ phần Phát triển Bất động sản Phát Đạt,Phát Đạt,PDR,Private,Real estate & construction,1192.0
103,Tổng Công ty Địa ốc Sài Gòn - TNHH MTV,Resco,RESCO,SOE,Real estate & construction,1183.0
104,Ngân hàng Thương mại cổ phần Phương Đông,OCB,OCB,Private,Banking,1183.0
105,Công ty cổ phần Đầu tư Nam Long,Nam Long,NLG,Private,Real estate & construction,1153.0
106,Công ty Cổ phần Hàng không Vietjet,Vietjetair,VJC,Private,Aviation,1150.0
107,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,Novaland Group,NVL,Private,Real estate & construction,1145.0
108,Công ty Cổ phần Nguyên liệu Á Châu AIG,AIG Group,AIG,Private,"Food, beverage & brewing",1138.0
109,Tổng Công ty Đầu tư Phát triển nhà và Đô thị-Công ty TNHH,HUD,HUDX,SOE,Real estate & construction,1138.0
110,Công ty TNHH điện Nghi Sơn 2,Nghi Sơn 2,NS2PC,FDI,Power & electrical,1100.0
111,Công ty Cổ phần Thép Nam Kim,Nam Kim,NKG,Private,Steel & building materials,1092.0
112,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,Saigon Petro,SAIGONPETRO,SOE,"Oil, gas & fuels",1070.0
113,Tổng Công ty Hàng hải Việt Nam - CTCP,VIMC,MVN,SOE,Logistics & ports,1060.0
114,CTCP Tập đoàn Vàng bạc đá quý Doji,DOJI,DOJI,Private,Real estate & construction,1056.0
115,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank,EIB,Private,Banking,1050.0
116,Tổng Công ty Công nghiệp Xi măng Việt Nam,Vicem,VICEM,SOE,Steel & building materials,1038.0
117,Công ty Cổ phần Đường Quảng Ngãi,QNS,QNS,Private,"Food, beverage & brewing",1020.0
118,Công ty Cổ phần Đầu tư và Xây dựng số 18,Licogi 18,L18,Private,Real estate & construction,1007.0
119,Công ty TNHH Apple Việt Nam,Apple Việt Nam,APPLE,FDI,Retail & trade,1000.0
120,Công ty TNHH Thương mại và Dịch vụ Long Hưng,Long Hưng Petro,LONGHUNG,Private,"Oil, gas & fuels",1000.0
121,Công ty TNHH Mercedes-Benz Việt Nam,Mercedes-Benz VietNam,MERCEDESVN,FDI,Automotive,1000.0
122,Công ty cổ phần Nhiên liệu Phúc Lâm,PHUC LAM FUEL CORP,PHUCLAM,Private,"Oil, gas & fuels",1000.0
123,Công ty cổ phần Quốc Lộc Phát,The Metropole Thủ Thiêm,QLPR,Private,Real estate & construction,1000.0
124,CTCP TẬP ĐOÀN VAS NGHI SƠN,VAS Nghi Sơn,VASNS,Private,Steel & building materials,1000.0
125,Công ty TNHH World Auto,World Auto,WORLDAUTO,Private,Other,1000.0
126,HSBC Việt Nam,HSBC Việt Nam,HSBC,FDI,Banking,987.0
127,Công ty Cổ phần Tasco,TASCO,HUT,Private,Automotive,978.0
128,Công ty TNHH Bảo hiểm Nhân thọ Dai-ichi Việt Nam,Dai-ichi Life,DAIICHILIFE,FDI,Insurance,970.0
129,Công ty cổ phần Chứng khoán VNDirect,VNDirect,VND,Private,Securities,942.0
130,CTCP Bia và nước giải khát Hạ Long,Halobeco,HLB,Private,"Food, beverage & brewing",884.0
131,Tập đoàn Dệt may Việt Nam,Vinatex,VGT,SOE,Manufacturing & other industry,850.0
132,Công ty Cổ phần Thực phẩm dinh dưỡng Nutifood,Nutifood,NUTIFOOD,Private,"Food, beverage & brewing",833.0
133,Công ty Cổ phần BLUEMARQ GROUP,BLUEMARQ GROUP,DXG,Private,Real estate & construction,821.0
134,Công ty TNHH Một thành viên - Tập đoàn Đường sắt Quốc gia Việt Nam,Vietnam Railways,VNRAILWAYS,SOE,Other,810.0
135,CTCP Kim Long Motor Huế,KIM LONG MOTORS,KLMH,Private,Automotive,800.0
136,Tổng Công ty Cổ phần phát triển khu Công nghiệp,Sonadezi,SNZ,SOE,Real estate & construction,799.0
137,Công ty Cổ phần Sữa Quốc tế Lof,LOF,IDP,Private,"Food, beverage & brewing",780.0
138,Công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam,Prudential,PRUDENTIAL,FDI,Insurance,773.0
139,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Hoang Huy Group,TCH,Private,Real estate & construction,772.0
140,CTCP Tập đoàn Hoá chất Đức Giang,Đức Giang Chem,DGC,Private,"Chemicals, plastics & rubber",761.0
141,Tổng Công ty Đầu tư và phát triển Nhà Hà Nội,Handico,HANDICO,SOE,Real estate & construction,752.0
142,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HSC,HCM,Private,Securities,721.0
143,TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,VNPost,VNPOST,SOE,Logistics & ports,718.0
144,Tổng Công ty Thép Việt Nam - CTCP,VNSteel,TVN,SOE,Steel & building materials,713.0
145,Tổng Công ty Phát triển đường cao tốc Việt Nam,VEC,VECX,SOE,Real estate & construction,671.0
146,Công ty Cổ phần Tập đoàn PAN,The PAN Group,PAN,Private,"Food, beverage & brewing",656.0
147,Công ty TNHH Phát triển Nam Hội An,Hoiana,HOIANA,FDI,Tourism & hospitality,650.0
148,Công ty cổ phần FECON,Fecon,FCN,Private,Real estate & construction,641.0
149,Công ty TNHH MTV Nước sạch Hà Nội,Hawaco,HAWACO,SOE,Water & utilities,638.0
150,Tổng công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Petrosetco,PET,Private,Retail & trade,637.0
151,CTCP Bia Sài Gòn - Bến Tre,Bia Sai Gon - Ben Tre,BSGBT,Private,"Food, beverage & brewing",626.0
152,Công ty cổ phần Phát triển Bất động sản Văn Phú,Văn Phú,VPI,Private,Real estate & construction,620.0
153,Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam,AIA Việt Nam,AIAL,FDI,Insurance,607.0
154,CTCP Chứng khoán Mirae Asset (Việt Nam),MAS,MIRAEASSET,FDI,Securities,602.0
155,Tổng Công ty Sông Đà - Công ty cổ phần,Sông Đà Corp,SJG,SOE,Real estate & construction,600.0
156,CTCP Đầu tư Phát triển Máy Việt Nam,VIMID,VVS,Private,Automotive,592.0
157,Tập đoàn KIDO,Kido Group,KDC,Private,"Food, beverage & brewing",589.0
158,Công ty TNHH Manulife (Việt Nam),Manulife Vietnam,MANULIFE,FDI,Insurance,588.0
159,Tổng Công ty Xây dựng Sài Gòn - TNHH MTV,Saigoncons/SGCC,SAIGONCONS,SOE,Real estate & construction,585.0
